,0,1,2,3
99,2018-10-17 18:06:06+00:00,WacoPolice,"Victim Services Training Academy When: Applications due by January 25, 2019 Academy begins February 4, 2019 Where: Waco Police Department training room Mon. & Wed. evenings 6:00-9:00pm, 4 weeks long. Requirements:... http://www.waco-texas.com/police/police-victim-services.asp",
100,2018-10-15 05:11:48+00:00,WacoPolice,Several train cars have derailed from the train tracks near Mars Drive and Texas Central Parkway. No injuries are reported. A crane is being brought in to place the cars back on the track. That is not... https://www.facebook.com/410404492341446/posts/1813746638673884/,
101,2018-10-13 19:54:44+00:00,WacoPolice,"Waco, Woodway, Hewitt and China Spring area given the all clear for now. Eastern McLennan County needs to remain on alert. A Tornado Watch remains in place until later this evening. Avoid high water locations. Sgt. Swanton",
102,2018-10-13 19:18:57+00:00,WacoPolice,Dispatchers are receiving reports of rotation in the south Waco area near the Central Texas marketplace. Take cover immediately.,
103,2018-10-11 15:40:44+00:00,WacoPolice,"Waco Crime Stoppers Recognized by Office of Governor During 30th Annual Texas Crime Stoppers Conference The 30th Annual Texas Crime Stopper Conference was held October 8th-10th, 2018 in Schertz Texas.... https://www.facebook.com/WacoPoliceDepartment/posts/1809157582466123",
104,2018-10-06 21:38:22+00:00,WacoPolice,Northbound traffic lanes have been reopened. Please drive safe as traffic flow returns to normal.,
105,2018-10-06 20:51:01+00:00,WacoPolice,All northbound lanes of I-35 in the 1700 block have been shut down due to the crash. We suggest that you use alternate routes around Waco until further notice. Both northbound and southbound lanes of I-35 have significant back up.,
106,2018-10-06 20:47:57+00:00,WacoPolice,All northbound lanes of I-35 in the 1700 block have been shut down due to the crash. We suggest that you use alternate routes around Waco until further notice. Both northbound and southbound lanes of I-35 have significant back up.,
107,2018-10-06 20:43:05+00:00,WacoPolice,All northbound lanes of I-35 in the 1700 block have been shut down due to the crash. We suggest that you use alternate routes around Waco until further notice. Both northbound and southbound lanes of I-35 have significant back up.,
108,2018-10-05 22:53:30+00:00,WacoPolice,Please say an extra prayer for and keep our K-9 teams in your thoughts this weekend.,
109,2018-10-04 14:00:09+00:00,WacoPolice,2018 National Night Out. Thanks Waco!!,
110,2018-10-02 19:26:02+00:00,WacoPolice,"Thanks to Detective Whelchel for this very important reminder!! Tomorrow at 1:18 pm our time, the Federal Emergency Management Agency (FEMA), in coordination with the Federal Communications Commission (FCC), will conduct a nationwide... https://www.fema.gov/emergency-alert-test",
111,2018-10-02 15:29:16+00:00,WacoPolice,"On Tuesday, October 2, 2018, the Waco Police Department encourages all citizens to participate in the 35th Annual National Night Out. National Night Out is sponsored by the National Association of Town Watch... https://www.facebook.com/WacoPoliceDepartment/posts/1798264153555466",
112,2018-09-26 18:44:42+00:00,WacoPolice,Kind of like being in a casino. Except...Keeping a Gambling Place in Texas is illegal.,
113,2018-09-15 18:22:17+00:00,WacoPolice,"Officer Garrett Hull is a hero. His family, extended family in blue, and friends are in our prayers. Thank you Officer Hull for protecting your community, sacrificing your life and making this a better world.",
114,2018-09-14 21:02:21+00:00,WacoPolice,"Ft Worth PD, you are in our thoughts and prayers. Hang in there Sir. https://www.facebook.com/story.php?story_fbid=1779105872137961&amp;id=410404492341446",
115,2018-09-13 18:36:00+00:00,WacoPolice,Thanks HEB Wooded Acres and S. Valley Mills locations for hosting our Coffee With a Cop!,
116,2018-09-10 18:18:41+00:00,WacoPolice,"Our Missing Person, 65-year-old, Michael Westbrook has been located. He is safe and will no longer be considered a Missing Person with our department.",
117,2018-08-20 15:24:35+00:00,WacoPolice,"Waco Citizens, Join the Waco Police Department and your neighbors on Tuesday, October 2, 2018 for the annual National Night Out celebration! National Night Out is designed to allow neighbors to join together and... http://www.waco-texas.com/police/police-national-night-out.asp",
118,2018-08-17 15:33:01+00:00,WacoPolice,The search and arrest warrant on TYRIEK ARNEAL WILLIAMSON has been served. This would not have been possible without your assistance. Thank you Waco.,
119,2018-08-16 14:44:40+00:00,WacoPolice,"Detective James needs assistance identifying three suspects in this video. The one in the gray shirt and white ball cap, the one in the red shirt and the one in the multi-colored shirt. They are... https://www.facebook.com/WacoPoliceDepartment/videos/1869780406450276/",
120,2018-08-16 14:13:32+00:00,WacoPolice,"Detective Harper needs assistance in identifying the subject in the red ball cap. He stole from the Wal-Mart located at 4320 Franklin on 8-1-18. If you know who he is, call 750-3668. https://www.facebook.com/WacoPoliceDepartment/videos/262981424336991/",
121,2018-08-16 14:06:31+00:00,WacoPolice,Missing Person Located 35-year-old Annie Chrissy Laseter has been located and is safe. She is no longer considered a Missing Person.,
122,2018-08-16 03:35:10+00:00,WacoPolice,Assistance Needed in Locating Missing Disabled Person We are working a missing disabled person this evening. Anyone with information on the whereabouts of 35-year-old Annie Chrissy Laseter is asked to contact... https://www.facebook.com/410404492341446/posts/1742046562510559/,
123,2018-08-13 18:49:09+00:00,WacoPolice,We are working in injury crash at 29th and Waco Drive. Expecting the intersection to be closed down for a period of time. Please avoid the area as both east and westbound lanes are completely blocked.,
124,2018-08-09 21:15:18+00:00,WacoPolice,Many of our local schools start soon. We are asking drivers to be mindful of this and please pay close attention in and around school zones and school buses. Our Traffic Enforcement Unit and Patrol Officers... https://www.facebook.com/410404492341446/posts/1729821650399717/,
125,2018-08-07 19:37:00+00:00,WacoPolice,Huge shout out to Belfor Property Restoration for feeding the troops at Waco PD today!!,
126,2018-08-07 13:56:19+00:00,WacoPolice,"Overnight Events Aggravated Assault Last night shortly before 10:00 pm, Waco Officers responded to a shooting at 2509 E. Lake Shore. On-scene officers located one male victim shot. The victim, 38-year-old... https://www.facebook.com/WacoPoliceDepartment/posts/1728144473900768",
127,2018-08-01 20:12:04+00:00,WacoPolice,"**ARMED and DANGEROUS WANTED SUSPECTS USE EXTREME CAUTION** Both suspects have gang ties, numerous arrests, and convictions for weapons offenses. These following two suspects are wanted as a result of... https://www.facebook.com/WacoPoliceDepartment/posts/1719263554788860",
128,2018-07-30 16:11:35+00:00,WacoPolice,"Preventable Crime Opportunity Card In light of the recent issues we have been having with Burglary of Motor Vehicles, Waco Police Department Patrol Officers have come up with an idea that we believe will... https://www.facebook.com/WacoPoliceDepartment/posts/1715872491794633",
129,2018-07-26 17:12:41+00:00,WacoPolice,"Shortly after the media released information on our missing Person, 42-year-old, Veronica Horne she return home. She is no longer considered a missing person and is safe. Thanks!! Sgt. Patrick Swanton",
130,2018-07-19 13:09:41+00:00,WacoPolice,Traffic Update There is now an additional crash in the northbound lane‘s of I- 35. Traffic has begun to back up on the Interstate and the flyovers leading to the northbound lanes from Highway 6. Please use extreme caution in the area. Alternate routes are advised.,
131,2018-07-18 18:13:27+00:00,WacoPolice,Missing Person Located Our Missing Person 49-year-old Brian Lee Brush has been located. He is safe and no longer considered missing. Sgt. Swanton,
132,2018-07-17 15:46:28+00:00,WacoPolice,Our Police Explorer Post is participating at the National Law Enforcement Explorer Conference at Purdue University this week. They are under the care of Officer Torres and our most esteem colleague and National Explorer Advisor of the Year Office Sofie Martinez. Train well all!!,
133,2018-07-08 00:35:01+00:00,WacoPolice,"If these two belong to you, we found them near Speegleville. They are at the Animal Shelter and not happy you let them get loose!",
134,2018-07-03 19:11:33+00:00,WacoPolice,We are looking to add to our dispatch team!! http://www.waco-texas.com/cms/jobs/viewjob.aspx?id=13666,
135,2018-07-02 16:30:41+00:00,WacoPolice,https://www.facebook.com/WacoPoliceDepartment/posts/1674089529306263,
136,2018-06-29 14:14:37+00:00,WacoPolice,Traffic Alert Please avoid New Road from iI- 35 to Bagby due to a crash with serious injury. New Road will be shut down for the next few hours. Expect traffic delays in the area.,
137,2018-06-16 01:30:06+00:00,WacoPolice,Update to Auto Vs. Bicyclist Crash We have a description for a person of interest we believe was driving the smoke gray colored Pick-up truck that stuck the bicyclist earlier this evening. Witnesses described... https://www.facebook.com/410404492341446/posts/1650545754993974/,
138,2018-06-14 15:57:23+00:00,WacoPolice,"Detective Clayton Williams Set to Retire Taking New Role as Chief of Police at McLennan Community College In a ceremony today at the Waco Police Department, Det. Williams will retire his Waco Police... https://www.facebook.com/WacoPoliceDepartment/posts/1648747998507083",
139,2018-06-11 13:55:52+00:00,WacoPolice,"Follow-up to Vehicle and Body in Brazos River The individual located in a vehicle found in the Brazos River Saturday morning has been identified. He is 38-year-old Victor Hugo Gonzales Flores of Waco, TX.... https://www.facebook.com/WacoPoliceDepartment/posts/1645321438849739",
140,2018-06-07 02:27:49+00:00,WacoPolice,"Incident at Hawaiian Falls Waterpark We are working an incident that occurred earlier this evening, shortly after 6:00 pm, at Hawaiian Falls Waterpark on Lakeshore drive. It was reported to our officers... https://www.facebook.com/WacoPoliceDepartment/posts/1640858369296046",
